,type_vente,code_departement,code_commune,prix_vente,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,prix_m²,taxe_fonciere,cuisine_equipee,chauffage_collectif,sejour_cuisine,salle_equipee,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,garage,dressing,approximite_metro,bureau,terrasse
239,0,75,75056,310000,2,1,27,0,11481,278,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
240,0,92,92049,338000,2,1,42,0,8048,430,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
241,0,92,92033,660000,4,3,103,0,6408,-1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
242,1,94,94046,849000,9,6,156,201,5442,-1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0
243,0,75,75056,320000,2,1,31,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
244,0,75,75056,215000,0,0,16,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
245,0,75,75056,299000,0,0,26,0,11500,-1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
246,0,75,75056,405000,2,1,44,0,9205,-1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0
247,0,92,92046,430000,4,2,67,0,6418,-1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
248,1,77,77058,276000,4,2,85,0,3247,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
249,0,95,95074,158000,2,1,35,0,4514,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
250,1,77,77514,449000,7,5,250,274,0,-1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1
251,0,77,77040,288000,3,2,85,0,3388,-1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
252,1,78,78368,1300000,12,6,325,942,4000,-1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0
253,0,91,91001,133000,2,1,39,0,3410,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
254,0,91,91326,230000,3,2,66,0,3485,-1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
255,0,92,92049,949000,4,2,93,0,10204,-1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0
256,0,92,92049,850000,6,4,120,0,7083,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
257,0,92,92026,525000,3,2,70,0,7500,850,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
258,1,93,93062,376000,3,2,63,0,0,950,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
259,0,95,95252,153000,0,0,23,0,6652,-1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
260,0,94,94015,310000,3,2,68,0,4559,-1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
261,0,78,78686,338000,2,1,46,0,7348,-1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
