,type_vente,nom_commune,code_departement,prix_vente,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,prix_m²,taxe_fonciere,cuisine_equipee,chauffage_collectif,sejour_cuisine,salle_equipee,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,garage,dressing,approximite_metro,bureau,terrasse
208,Appartement,Paris 19e Arrondissement,75,225000,0,1,18,0,0,-1,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False
209,Maison,Boinvilliers,78,850000,6,4,200,350,4250,-1,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
210,Maison,Neauphle-le-Château,78,649000,8,5,230,300,2822,-1,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,True,False
211,Appartement,Ivry-sur-Seine,94,470000,5,4,89,0,5281,2190,True,True,False,False,True,True,True,True,False,True,True,False,False,False,True,False,False
212,Appartement,Paris 20e Arrondissement,75,390000,2,1,39,0,10000,776,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
213,Appartement,Paris 18e Arrondissement,75,550000,3,2,51,0,10784,-1,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False
214,Appartement,Janville-sur-Juine,91,233000,4,3,85,0,0,-1,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True
215,Appartement,Montrouge,92,480000,3,2,66,0,0,-1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
216,Appartement,La Garenne-Colombes,92,500000,3,2,75,0,6667,-1,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False
217,Appartement,Courbevoie,92,580000,3,2,82,0,7073,700,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False
218,Appartement,Saint-Denis,93,280000,3,2,50,0,5600,800,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False
219,Appartement,Vitry-sur-Seine,94,299000,4,2,72,0,4153,1200,True,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False
220,Appartement,Paris 12e Arrondissement,75,358000,2,1,32,0,11188,545,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
221,Maison,Gometz-la-Ville,91,640000,6,4,115,450,5565,2047,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,True
222,Appartement,Vincennes,94,800000,4,3,81,0,0,-1,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False
223,Appartement,Paris 17e Arrondissement,75,578000,2,1,53,0,0,-1,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False
224,Appartement,Créteil,94,280000,4,2,76,0,3684,1630,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False
225,Maison,Chennevières-sur-Marne,94,695000,7,5,202,400,3441,-1,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,False,True
226,Maison,Andilly,95,550000,6,4,181,341,3039,2400,False,False,False,False,True,False,True,True,True,False,False,True,True,True,False,True,False
227,Appartement,Paris 16e Arrondissement,75,1180000,3,2,84,0,14048,-1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True
228,Maison,Carnetin,77,360000,8,4,142,293,2535,-1,False,False,False,False,True,False,True,True,False,False,True,True,True,False,False,False,True
229,Maison,Auvers-Saint-Georges,91,660000,8,6,217,2,0,2100,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,True
230,Appartement,Saint-Cloud,92,475000,3,2,77,0,6169,-1,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False
231,Appartement,Arcueil,94,435000,4,3,95,0,4579,1591,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False
232,Appartement,Nogent-sur-Marne,94,380000,2,1,58,0,6552,-1,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
233,Appartement,Argenteuil,95,235000,3,2,55,0,4273,809,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
234,Appartement,Cergy,95,199500,3,1,52,0,3837,-1,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True
235,Appartement,Antony,92,370000,4,3,73,0,5068,1090,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False
236,Appartement,Étiolles,91,197000,2,1,55,0,3582,-1,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False
237,Appartement,Paris 16e Arrondissement,75,180000,0,0,12,0,0,160,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
238,Appartement,Paris 18e Arrondissement,75,205000,2,1,19,0,0,-1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
239,Appartement,Paris 18e Arrondissement,75,310000,2,1,27,0,11481,278,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False
240,Appartement,Montrouge,92,338000,2,1,42,0,8048,430,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False
241,Appartement,Garches,92,660000,4,3,103,0,6408,-1,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,True
242,Maison,Maisons-Alfort,94,849000,9,6,156,201,5442,-1,False,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False
243,Appartement,Paris 13e Arrondissement,75,320000,2,1,31,0,0,-1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
244,Appartement,Paris 15e Arrondissement,75,215000,0,0,16,0,0,-1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
245,Appartement,Paris 17e Arrondissement,75,299000,0,0,26,0,11500,-1,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
246,Appartement,Paris 20e Arrondissement,75,405000,2,1,44,0,9205,-1,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True,False,False
247,Appartement,Malakoff,92,430000,4,2,67,0,6418,-1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
248,Maison,Bussy-Saint-Georges,77,276000,4,2,85,0,3247,-1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
249,Appartement,Boisemont,95,158000,2,1,35,0,4514,-1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
250,Maison,Villeparisis,77,449000,7,5,250,274,0,-1,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,True,True
251,Appartement,Boissise-le-Roi,77,288000,3,2,85,0,3388,-1,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True
252,Maison,Mareil-sur-Mauldre,78,1300000,12,6,325,942,4000,-1,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False
253,Appartement,Abbéville-la-Rivière,91,133000,2,1,39,0,3410,-1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
254,Appartement,Juvisy-sur-Orge,91,230000,3,2,66,0,3485,-1,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False
255,Appartement,Montrouge,92,949000,4,2,93,0,10204,-1,False,False,False,False,True,False,True,True,True,True,False,False,False,True,True,False,False
256,Appartement,Montrouge,92,850000,6,4,120,0,7083,-1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
257,Appartement,Courbevoie,92,525000,3,2,70,0,7500,850,False,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False
258,Maison,Le Raincy,93,376000,3,2,63,0,0,950,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False
259,Appartement,Franconville,95,153000,0,0,23,0,6652,-1,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
260,Appartement,Bry-sur-Marne,94,310000,3,2,68,0,4559,-1,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False
261,Appartement,Viroflay,78,338000,2,1,46,0,7348,-1,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
