,type,nom_commune,code_departement,prix,numberOfGuests,rating
187,Room,Paris 9e Arrondissement,75,423,2,4.5
188,Entire Home,Maisons-Alfort,94,294,2,5.0
189,Room,Paris 16e Arrondissement,75,482,3,4.5
190,Room,Paris 11e Arrondissement,75,395,4,4.5
191,Entire Home,Paris 19e Arrondissement,75,264,4,4.5
192,Room,Paris 6e Arrondissement,75,336,2,4.5
193,Room,Paris 2e Arrondissement,75,270,2,4.5
194,Room,Paris 9e Arrondissement,75,346,5,4.5
195,Room,Paris 17e Arrondissement,75,273,3,4.5
196,Room,Paris 14e Arrondissement,75,285,2,4.5
197,Room,Paris 9e Arrondissement,75,356,2,4.5
198,Room,Paris 15e Arrondissement,75,389,4,4.5
199,Room,Paris 9e Arrondissement,75,290,2,4.0
200,Room,Paris 5e Arrondissement,75,359,2,4.5
201,Room,Paris 11e Arrondissement,75,316,3,5.0
202,Room,Paris 8e Arrondissement,75,330,2,5.0
203,Room,Paris 9e Arrondissement,75,360,2,4.5
204,Room,Paris 16e Arrondissement,75,432,2,5.0
205,Room,Paris 1er Arrondissement,75,307,2,4.5
206,Entire Home,Ville-d'Avray,92,312,2,5.0
207,Room,Paris 5e Arrondissement,75,371,2,5.0
208,Room,Paris 17e Arrondissement,75,380,1,4.5
209,Room,Paris 14e Arrondissement,75,344,2,4.5
210,Room,Paris 9e Arrondissement,75,386,2,5.0
211,Room,Paris 16e Arrondissement,75,400,2,5.0
212,Entire Home,Paris 9e Arrondissement,75,267,2,4.5
213,Room,Paris 8e Arrondissement,75,425,2,4.5
214,Room,Paris 4e Arrondissement,75,286,2,4.5
215,Entire Home,Paris 4e Arrondissement,75,293,2,4.0
216,Room,Paris 9e Arrondissement,75,409,3,4.5
217,Entire Home,Paris 4e Arrondissement,75,327,2,4.0
218,Room,Paris 8e Arrondissement,75,355,2,5.0
219,Room,Paris 8e Arrondissement,75,297,3,4.5
220,Room,Paris 17e Arrondissement,75,436,1,4.5
221,Room,Paris 5e Arrondissement,75,421,2,4.5
222,Room,Paris 15e Arrondissement,75,327,2,5.0
223,Room,Paris 15e Arrondissement,75,337,2,4.5
224,Room,Paris 17e Arrondissement,75,349,2,4.5
225,Room,Paris 5e Arrondissement,75,404,2,5.0
226,Entire Home,Paris 18e Arrondissement,75,335,2,5.0
227,Room,Paris 17e Arrondissement,75,436,1,5.0
228,Room,Paris 16e Arrondissement,75,360,4,4.5
229,Entire Home,Paris 16e Arrondissement,75,470,6,5.0
230,Room,Paris 8e Arrondissement,75,400,2,4.5
231,Room,Paris 8e Arrondissement,75,446,2,4.5
232,Room,Paris 8e Arrondissement,75,378,2,4.5
233,Room,Paris 16e Arrondissement,75,316,2,4.5
234,Room,Paris 1er Arrondissement,75,370,2,5.0
235,Room,Paris 2e Arrondissement,75,344,2,4.5
236,Room,Paris 1er Arrondissement,75,396,3,4.5
237,Room,Paris 15e Arrondissement,75,340,2,5.0
238,Entire Home,Paris 12e Arrondissement,75,334,2,5.0
239,Room,Paris 3e Arrondissement,75,297,2,5.0
240,Room,Paris 5e Arrondissement,75,493,2,4.5
241,Room,Paris 9e Arrondissement,75,323,2,5.0
242,Room,Paris 8e Arrondissement,75,268,1,3.5
243,Room,Paris 9e Arrondissement,75,410,3,5.0
244,Room,Paris 5e Arrondissement,75,290,2,4.5
245,Room,Paris 3e Arrondissement,75,491,2,5.0
246,Room,Paris 8e Arrondissement,75,436,2,4.5
247,Entire Home,Courbevoie,92,340,5,5.0
248,Room,Paris 16e Arrondissement,75,336,2,5.0
249,Room,Paris 4e Arrondissement,75,405,3,4.5
250,Room,Paris 2e Arrondissement,75,262,2,4.5
251,Room,Paris 3e Arrondissement,75,286,2,4.5
252,Room,Paris 15e Arrondissement,75,366,2,4.5
253,Room,Paris 15e Arrondissement,75,304,2,4.5
254,Room,Paris 9e Arrondissement,75,340,2,5.0
255,Room,Paris 11e Arrondissement,75,266,2,5.0
256,Room,Paris 1er Arrondissement,75,426,2,4.5
257,Room,Paris 9e Arrondissement,75,380,2,4.0
258,Room,Paris 9e Arrondissement,75,302,2,4.5
259,Room,Paris 5e Arrondissement,75,349,2,5.0
260,Room,Paris 7e Arrondissement,75,387,2,5.0
261,Room,Paris 2e Arrondissement,75,447,3,5.0
262,Room,Paris 9e Arrondissement,75,469,2,5.0
263,Entire Home,Paris 11e Arrondissement,75,441,4,4.5
264,Entire Home,Paris 2e Arrondissement,75,462,6,4.5
265,Entire Home,Paris 16e Arrondissement,75,359,2,4.5
266,Entire Home,Paris 2e Arrondissement,75,307,4,4.5
