,nom_commune,dummy,cat_commune
462,78Saint-Nom-la-Bretèche,1,1
463,78Saint-Rémy-l'Honoré,1,1
464,78Saint-Rémy-lès-Chevreuse,1,1
465,78Sainte-Mesme,1,1
466,78Sartrouville,1,1
467,78Saulx-Marchais,1,1
468,78Senlisse,1,1
469,78Septeuil,1,0
470,78Soindres,1,1
471,78Sonchamp,1,1
472,78Thiverval-Grignon,1,1
473,78Thoiry,1,1
474,78Toussus-le-Noble,1,2
475,78Trappes,1,1
476,78Triel-sur-Seine,1,1
477,78Vaux-sur-Seine,1,0
478,78Verneuil-sur-Seine,1,1
479,78Vernouillet,1,1
480,78Versailles,1,0
481,78Vieille-Église-en-Yvelines,1,1
482,78Villennes-sur-Seine,1,1
483,78Villepreux,1,1
484,78Villiers-Saint-Frédéric,1,1
485,78Viroflay,1,1
486,78Voisins-le-Bretonneux,1,1
487,78Vélizy-Villacoublay,1,1
488,78Élancourt,1,1
489,78Émancé,1,1
490,78Épône,1,1
491,78Évecquemont,1,0
492,91Angerville,1,1
493,91Angervilliers,1,1
494,91Arpajon,1,1
495,91Athis-Mons,1,1
496,91Auvers-Saint-Georges,1,1
497,91Avrainville,1,1
498,91Ballainvilliers,1,1
499,91Ballancourt-sur-Essonne,1,1
500,91Baulne,1,1
501,91Bièvres,1,1
502,91Boigneville,1,1
503,91Boissy-la-Rivière,1,0
504,91Boissy-le-Cutté,1,1
505,91Boissy-le-Sec,1,0
506,91Boissy-sous-Saint-Yon,1,1
507,91Bondoufle,1,1
508,91Bouray-sur-Juine,1,1
509,91Boussy-Saint-Antoine,1,1
510,91Boutervilliers,1,1
511,91Boutigny-sur-Essonne,1,0
512,91Breuillet,1,1
513,91Breux-Jouy,1,1
514,91Brières-les-Scellés,1,1
515,91Brunoy,1,1
516,91Bruyères-le-Châtel,1,1
517,91Brétigny-sur-Orge,1,1
518,91Bures-sur-Yvette,1,1
519,91Cerny,1,1
520,91Chalo-Saint-Mars,1,1
521,91Chamarande,1,1
522,91Champcueil,1,2
523,91Champlan,1,1
524,91Cheptainville,1,1
525,91Chevannes,1,1
526,91Chilly-Mazarin,1,1
527,91Corbeil-Essonnes,1,1
528,91Corbreuse,1,1
529,91Courson-Monteloup,1,1
530,91Crosne,1,1
531,91D'Huison-Longueville,1,1
532,91Dannemois,1,1
533,91Dourdan,1,1
534,91Draveil,1,1
535,91Fleury-Mérogis,1,1
536,91Fontaine-la-Rivière,1,1
537,91Fontenay-le-Vicomte,1,1
538,91Fontenay-lès-Briis,1,1
539,91Forges-les-Bains,1,1
540,91Gif-sur-Yvette,1,1
541,91Gironville-sur-Essonne,1,1
542,91Gometz-la-Ville,1,1
543,91Gometz-le-Châtel,1,1
544,91Grigny,1,0
545,91Guibeville,1,1
546,91Guigneville-sur-Essonne,1,1
547,91Guillerval,1,1
548,91Igny,1,1
549,91Itteville,1,1
550,91Janville-sur-Juine,1,0
551,91Juvisy-sur-Orge,1,0
552,91La Ferté-Alais,1,1
553,91La Forêt-Sainte-Croix,1,1
554,91La Norville,1,1
555,91La Ville-du-Bois,1,1
