mois_mutation,type_local,cat_commune,valeur_m2
2021/04,Appartement,1,3973.64323301344
2021/04,Appartement,2,14179.737522186124
2021/04,Maison,0,7022.1661367659835
2021/04,Maison,1,3271.225097122368
2021/04,Maison,2,15051.135434468782
2021/05,Appartement,0,9748.73708254452
2021/05,Appartement,1,4008.534427224084
2021/05,Appartement,2,14765.490068946587
2021/05,Maison,0,7316.409019729586
2021/05,Maison,1,3318.302456168463
2021/05,Maison,2,14008.684269339961
2021/06,Appartement,0,9871.839093995928
2021/06,Appartement,1,4065.648316834728
2021/06,Appartement,2,20799.707143219493
2021/06,Maison,0,7140.000964023603
2021/06,Maison,1,3400.19184982061
2021/06,Maison,2,15528.158039446065
2021/07,Appartement,0,9926.079452156579
2021/07,Appartement,1,4153.491665752478
2021/07,Appartement,2,14693.912449531315
2021/07,Maison,0,7332.065991241967
2021/07,Maison,1,3493.560133155734
2021/07,Maison,2,15570.682015611448
2021/08,Appartement,0,9837.470478183506
2021/08,Appartement,1,4049.489149971267
2021/08,Appartement,2,14252.90191782957
2021/08,Maison,0,7344.226051817657
2021/08,Maison,1,3499.851266597121
2021/08,Maison,2,15720.378998887958
2021/09,Appartement,0,10117.366060573662
2021/09,Appartement,1,4135.813252813492
2021/09,Appartement,2,15116.384085654168
2021/09,Maison,0,7431.929569820815
2021/09,Maison,1,3470.5204790087537
2021/09,Maison,2,15087.145162578501
2021/10,Appartement,0,10079.916591218167
2021/10,Appartement,1,4184.944723633022
2021/10,Appartement,2,14123.569037595827
2021/10,Maison,0,7474.709221966201
2021/10,Maison,1,3461.4170870115336
2021/10,Maison,2,14985.681642500303
2021/11,Appartement,0,10073.17969522449
2021/11,Appartement,1,3958.0467804068408
2021/11,Appartement,2,14341.461514091336
2021/11,Maison,0,7442.910119162304
2021/11,Maison,1,3394.756756968513
2021/11,Maison,2,14278.138527257614
2021/12,Appartement,0,10000.398169133088
2021/12,Appartement,1,3948.214143329979
2021/12,Appartement,2,15036.609252167458
2021/12,Maison,0,7466.763131153539
2021/12,Maison,1,3398.0543075629457
2021/12,Maison,2,14350.602458437916
